item_code,item_name,dept_id,group_code,group_name,calc_type,calc_source,value_type,unit,sort_no,required,min_value,max_value,legacy_column,excel_ref,note,agg_type
qq_nyuin,"救急搬入 入院数",kyukyu,qq,救急搬入,input,,int,名,520,1,0,100,qq1,②!V,,sum
qq_gairai,"救急搬入 外来",kyukyu,qq,救急搬入,input,,int,名,530,0,0,100,qq2,,病院日誌のみの項目,sum
qq_tensou,"救急搬入 転送",kyukyu,qq,救急搬入,input,,int,名,540,0,0,100,qq3,,病院日誌のみの項目,sum
qq_kotowari,"救急搬入 断り件数",kyukyu,qq,救急搬入,input,,int,件,550,1,0,100,,②!Y,,sum
qq_irai,搬入依頼数,kyukyu,qq,救急搬入,sum,"qq_kanja,qq_kotowari",int,件,560,0,,,,救急搬入受入統計表!K,"受入率の分母。Excelでは K8=D8+I8 の導出値",sum
qq_jibyoin,自病院救急（再掲）,kyukyu,qq,救急搬入,input,,int,件,570,0,0,100,,救急搬入受入統計表!N,,sum
qq_nyuin_gairai_total,"救急搬入 入院＋外来",kyukyu,qq,救急搬入,sum,"qq_nyuin,qq_gairai",int,名,580,0,,,,,,sum
walkin1,"時間外ウォークイン 区分1",kyukyu,walkin,時間外ウォークイン,input,,int,名,600,0,0,200,,⑨!C,区分1〜4の定義は要確認,sum
walkin1_nyuin,"時間外ウォークイン 区分1 うち入院",kyukyu,walkin,時間外ウォークイン,input,,int,名,610,0,0,200,,⑨!E,,sum
walkin2,"時間外ウォークイン 区分2",kyukyu,walkin,時間外ウォークイン,input,,int,名,620,0,0,200,,⑨!G,,sum
walkin2_nyuin,"時間外ウォークイン 区分2 うち入院",kyukyu,walkin,時間外ウォークイン,input,,int,名,630,0,0,200,,⑨!I,,sum
walkin3,"時間外ウォークイン 区分3",kyukyu,walkin,時間外ウォークイン,input,,int,名,640,0,0,200,,⑨!K,,sum
walkin3_nyuin,"時間外ウォークイン 区分3 うち入院",kyukyu,walkin,時間外ウォークイン,input,,int,名,650,0,0,200,,⑨!M,,sum
walkin4,"時間外ウォークイン 区分4",kyukyu,walkin,時間外ウォークイン,input,,int,名,660,0,0,200,,⑨!O,,sum
walkin4_nyuin,"時間外ウォークイン 区分4 うち入院",kyukyu,walkin,時間外ウォークイン,input,,int,名,670,0,0,200,,⑨!Q,,sum
walkin_total,"時間外ウォークイン 合計",kyukyu,walkin,時間外ウォークイン,sum,"walkin1,walkin2,walkin3,walkin4",int,名,680,0,,,,⑨!S,,sum
walkin_nyuin_total,"時間外ウォークイン うち入院 合計",kyukyu,walkin,時間外ウォークイン,sum,"walkin1_nyuin,walkin2_nyuin,walkin3_nyuin,walkin4_nyuin",int,名,690,0,,,,⑨!U,,sum
dock_ninzu,"人間ドック 人数",dock,dock,人間ドック・健康診断,input,,int,人,700,1,0,100,,③!C,,sum
dock_kensu,"人間ドック 件数",dock,dock,人間ドック・健康診断,input,,int,件,710,1,0,300,s11,③!E,,sum
kenshin_ninzu,"健康診断 人数",dock,dock,人間ドック・健康診断,input,,int,人,720,1,0,300,,③!G,,sum
kenshin_kensu,"健康診断 件数",dock,dock,人間ドック・健康診断,input,,int,件,730,1,0,500,s12,③!I,,sum
egd_nyuin,"EGD 入院",naishikyo,naishikyo,内視鏡,input,,int,件,800,1,0,100,,③!K,,sum
egd_gairai,"EGD 外来",naishikyo,naishikyo,内視鏡,input,,int,件,810,1,0,100,,③!L,,sum
egd_total,"EGD 入＋外",naishikyo,naishikyo,内視鏡,sum,"egd_nyuin,egd_gairai",int,件,820,0,,,k14,③!M,病院日誌のＥＧＤはこの合計,sum
cf_nyuin,"CF（CS） 入院",naishikyo,naishikyo,内視鏡,input,,int,件,830,1,0,100,,③!O,,sum
cf_gairai,"CF（CS） 外来",naishikyo,naishikyo,内視鏡,input,,int,件,840,1,0,100,,③!P,,sum
cf_total,"CF（CS） 入＋外",naishikyo,naishikyo,内視鏡,sum,"cf_nyuin,cf_gairai",int,件,850,0,,,k15,③!Q,,sum
ercp_nyuin,"ERCP 入院",naishikyo,naishikyo,内視鏡,input,,int,件,860,0,0,100,,③!S,,sum
ercp_gairai,"ERCP 外来",naishikyo,naishikyo,内視鏡,input,,int,件,870,0,0,100,,③!T,,sum
ercp_total,"ERCP 入＋外",naishikyo,naishikyo,内視鏡,sum,"ercp_nyuin,ercp_gairai",int,件,880,0,,,,③!U,,sum
naishikyo_other_nyuin,"その他（BF等） 入院",naishikyo,naishikyo,内視鏡,input,,int,件,890,0,0,100,,③!W,,sum
naishikyo_other_gairai,"その他（BF等） 外来",naishikyo,naishikyo,内視鏡,input,,int,件,900,0,0,100,,③!X,,sum
naishikyo_other_total,"その他（BF等） 入＋外",naishikyo,naishikyo,内視鏡,sum,"naishikyo_other_nyuin,naishikyo_other_gairai",int,件,910,0,,,,,,sum
ct_nyuin,"CT 入院",housha,housha,放射線科,input,,int,件,1000,1,0,200,,④!C,,sum
ct_gairai,"CT 外来",housha,housha,放射線科,input,,int,件,1010,1,0,200,,④!D,,sum
ct_total,"CT 入＋外",housha,housha,放射線科,sum,"ct_nyuin,ct_gairai",int,件,1020,0,,,k1,④!E,病院日誌のＣＴはこの合計,sum
mri_nyuin,"MRI 入院",housha,housha,放射線科,input,,int,件,1030,1,0,200,,④!G,,sum
mri_gairai,"MRI 外来",housha,housha,放射線科,input,,int,件,1040,1,0,200,,④!H,,sum
mri_total,"MRI 入＋外",housha,housha,放射線科,sum,"mri_nyuin,mri_gairai",int,件,1050,0,,,k2,④!I,,sum
itoushi_nyuin,"胃透視 入院",housha,housha,放射線科,input,,int,件,1060,0,0,100,,④!K,,sum
itoushi_gairai,"胃透視 外来",housha,housha,放射線科,input,,int,件,1070,0,0,100,,④!L,,sum
itoushi_total,"胃透視 入＋外",housha,housha,放射線科,sum,"itoushi_nyuin,itoushi_gairai",int,件,1080,0,,,k5,④!M,,sum
zouei_nyuin,"その他造影 入院",housha,housha,放射線科,input,,int,件,1090,0,0,100,,④!O,胃・頭以外,sum
zouei_gairai,"その他造影 外来",housha,housha,放射線科,input,,int,件,1100,0,0,100,,④!P,,sum
zouei_total,"その他造影 入＋外",housha,housha,放射線科,sum,"zouei_nyuin,zouei_gairai",int,件,1110,0,,,k6,④!Q,,sum
cag_nyuin,"血管造影 入院",housha,housha,放射線科,input,,int,件,1120,0,0,100,,④!S,頭部CAG,sum
cag_gairai,"血管造影 外来",housha,housha,放射線科,input,,int,件,1130,0,0,100,,④!T,,sum
cag_total,"血管造影 入＋外",housha,housha,放射線科,sum,"cag_nyuin,cag_gairai",int,件,1140,0,,,k7,④!U,,sum
cag_ope,血管造影手術,housha,housha,放射線科,input,,int,件,1150,0,0,100,k8,④!W,,sum
mammo_nyuin,"マンモグラフィ 入院",housha,housha,放射線科,input,,int,件,1160,0,0,100,,⑤!C,,sum
mammo_gairai,"マンモグラフィ 外来",housha,housha,放射線科,input,,int,件,1170,0,0,100,,⑤!D,,sum
mammo_total,"マンモグラフィ 入＋外",housha,housha,放射線科,sum,"mammo_nyuin,mammo_gairai",int,件,1180,0,,,k3,⑤!E,,sum
ippan_nyuin,"一般単純撮影 入院",housha,housha,放射線科,input,,int,件,1190,1,0,500,,⑤!G,,sum
ippan_gairai,"一般単純撮影 外来",housha,housha,放射線科,input,,int,件,1200,1,0,500,,⑤!H,,sum
ippan_total,"一般単純撮影 入＋外",housha,housha,放射線科,sum,"ippan_nyuin,ippan_gairai",int,件,1210,0,,,k4,⑤!I,,sum
gan_touroku,癌新登録数,kensa,kensa,検査科,input,,int,件,1300,0,0,50,k25,⑤!K,,sum
shin_echo_nyuin,"心エコー 入院",kensa,kensa,検査科,input,,int,件,1310,1,0,100,,⑤!M,,sum
shin_echo_gairai,"心エコー 外来",kensa,kensa,検査科,input,,int,件,1320,1,0,100,,⑤!N,,sum
shin_echo_total,"心エコー 入＋外",kensa,kensa,検査科,sum,"shin_echo_nyuin,shin_echo_gairai",int,件,1330,0,,,k9,⑤!O,,sum
fuku_echo_nyuin,"胸・腹部エコー 入院",kensa,kensa,検査科,input,,int,件,1340,1,0,200,,⑤!Q,,sum
fuku_echo_gairai,"胸・腹部エコー 外来",kensa,kensa,検査科,input,,int,件,1350,1,0,300,,⑤!R,,sum
fuku_echo_total,"胸・腹部エコー 入＋外",kensa,kensa,検査科,sum,"fuku_echo_nyuin,fuku_echo_gairai",int,件,1360,0,,,k10,⑤!S,,sum
ishi_echo_nyuin,"医師エコー 入院",kensa,kensa,検査科,input,,int,件,1370,0,0,100,,⑤!U,,sum
ishi_echo_gairai,"医師エコー 外来",kensa,kensa,検査科,input,,int,件,1380,0,0,100,,⑤!V,,sum
ishi_echo_total,"医師エコー 入＋外",kensa,kensa,検査科,sum,"ishi_echo_nyuin,ishi_echo_gairai",int,件,1390,0,,,k11,,,sum
kentai_nyuin,"検体検査 入院",kensa,kensa,検査科,input,,int,件,1400,1,0,500,,⑤!W,,sum
kentai_gairai,"検体検査 外来",kensa,kensa,検査科,input,,int,件,1410,1,0,500,,⑤!X,,sum
kentai_total,"検体検査 入＋外",kensa,kensa,検査科,sum,"kentai_nyuin,kentai_gairai",int,件,1420,0,,,k12,⑤!Y,,sum
sas,SAS,kensa,kensa,検査科,input,,int,件,1430,0,0,50,k13,⑤!AA,,sum
fukuyaku,服薬指導,yakuzai,yakuzai,薬剤科,input,,int,件,1500,1,0,200,k17,⑥!C,,sum
chouzai_nyuin,調剤件数（入院）,yakuzai,yakuzai,薬剤科,input,,int,件,1510,1,0,500,k18,⑥!E,,sum
chouzai_gairai,調剤件数（外来）,yakuzai,yakuzai,薬剤科,input,,int,件,1520,1,0,500,k19,⑥!G,,sum
eiyou_nyuin,"栄養指導 ①入院",eiyou,eiyou,栄養科,input,,int,件,1600,0,0,100,,⑥!I,その他含まず,sum
eiyou_gairai,"栄養指導 ②外来",eiyou,eiyou,栄養科,input,,int,件,1610,0,0,100,,⑥!J,その他含まず,sum
eiyou_other,"栄養指導 ④その他",eiyou,eiyou,栄養科,input,,int,件,1620,0,0,100,,⑥!L,ドック等,sum
eiyou_sum12,"栄養指導 ③（①＋②）",eiyou,eiyou,栄養科,sum,"eiyou_nyuin,eiyou_gairai",int,件,1630,0,,,k20,⑥!K,病院日誌の栄養指導はこの値,sum
eiyou_sum34,"栄養指導 ⑤本部報告（③＋④）",eiyou,eiyou,栄養科,sum,"eiyou_nyuin,eiyou_gairai,eiyou_other",int,件,1640,0,,,,⑥!M,,sum
pt_nyuin,"理学療法 入院",rehab,rehab,リハビリ単位数,input,,int,単位,1700,1,0,1000,,⑥!O,,sum
pt_gairai,"理学療法 外来",rehab,rehab,リハビリ単位数,input,,int,単位,1710,1,0,1000,,⑥!P,,sum
pt_total,"理学療法 入＋外",rehab,rehab,リハビリ単位数,sum,"pt_nyuin,pt_gairai",int,単位,1720,0,,,k21,⑥!Q,,sum
ot_nyuin,"作業療法 入院",rehab,rehab,リハビリ単位数,input,,int,単位,1730,1,0,1000,,⑥!S,,sum
ot_gairai,"作業療法 外来",rehab,rehab,リハビリ単位数,input,,int,単位,1740,1,0,1000,,⑥!T,,sum
ot_total,"作業療法 入＋外",rehab,rehab,リハビリ単位数,sum,"ot_nyuin,ot_gairai",int,単位,1750,0,,,k22,⑥!U,,sum
st_nyuin,"言語療法 入院",rehab,rehab,リハビリ単位数,input,,int,単位,1760,1,0,1000,,⑥!W,,sum
st_gairai,"言語療法 外来",rehab,rehab,リハビリ単位数,input,,int,単位,1770,1,0,1000,,⑥!X,,sum
st_total,"言語療法 入＋外",rehab,rehab,リハビリ単位数,sum,"st_nyuin,st_gairai",int,単位,1780,0,,,k23,⑥!Y,,sum
rehab_gairai_kensu,リハビリ（外来再掲）,rehab,rehab,リハビリ単位数,input,,int,件,1790,0,0,500,s1,,病院日誌の外来再掲欄。単位数ではなく件数のため別項目。Excel側に対応列がなく定義の確認が必要,sum
ope_geka,"手術 外科",ope,ope,手術室,input,,int,件,1800,1,0,50,op1,⑦!C,,sum
ope_seikei,"手術 整形",ope,ope,手術室,input,,int,件,1810,1,0,50,op2,⑦!E,,sum
ope_noge,"手術 脳外科",ope,ope,手術室,input,,int,件,1820,1,0,50,op3,⑦!G,,sum
ope_keisei,"手術 形成",ope,ope,手術室,input,,int,件,1830,0,0,50,op4,,病院日誌のみの区分。Excel⑦の「その他」はこれとope_otherの合計,sum
ope_other,"手術 その他",ope,ope,手術室,input,,int,件,1840,0,0,50,op5,,,sum
ope_other_name,"手術 その他 科名",ope,ope,手術室,input,,text,,1850,0,,,op5n,,,sum
ope_excel_other,"手術 その他（Excel⑦相当）",ope,ope,手術室,sum,"ope_keisei,ope_other",int,件,1860,0,,,,⑦!I,,sum
ope_total,"手術 合計",ope,ope,手術室,sum,"ope_geka,ope_seikei,ope_noge,ope_keisei,ope_other",int,件,1870,0,,,,⑦!K,,sum
ope_zenma,全身麻酔,ope,ope,手術室,input,,int,件,1880,0,0,50,zenma,⑦!M,,sum
ope_kyoushika,鏡視下手術,ope,ope,手術室,input,,int,件,1890,0,0,50,,⑦!N,,sum
ope_naishikyo,内視鏡術,ope,ope,手術室,input,,int,件,1900,0,0,50,,⑦!O,,sum
ope_name1,術名①,ope,ope_name,術名,input,,text,,1910,0,,,j1,,,sum
ope_name2,術名②,ope,ope_name,術名,input,,text,,1920,0,,,j2,,,sum
ope_name3,術名③,ope,ope_name,術名,input,,text,,1930,0,,,j3,,,sum
ope_name4,術名④,ope,ope_name,術名,input,,text,,1940,0,,,j4,,,sum
ope_name5,術名⑤,ope,ope_name,術名,input,,text,,1950,0,,,j5,,,sum
ope_name6,術名⑥,ope,ope_name,術名,input,,text,,1960,0,,,j6,,,sum
shoshin,初診,renkei,renkei,紹介・医療連携,input,,int,名,2000,1,0,200,,⑦!P,紹介率の分母,sum
gaikyuushin6,外休深6歳未満,renkei,renkei,紹介・医療連携,input,,int,名,2010,0,0,100,,⑦!R,,sum
shoukai,紹介患者数,renkei,renkei,紹介・医療連携,input,,int,名,2020,1,0,100,,⑦!T,,sum
renkei_byoin,病院訪問,renkei,renkei,紹介・医療連携,input,,int,件,2030,0,0,50,i1,,病院日誌の医療連携欄,sum
renkei_other,その他訪問,renkei,renkei,紹介・医療連携,input,,int,件,2040,0,0,50,i2,,,sum
renkei_kouza,健康講座,renkei,renkei,紹介・医療連携,input,,int,件,2050,0,0,50,i3,,,sum
renkei_soudan,相談件数,renkei,renkei,紹介・医療連携,input,,int,件,2060,0,0,100,i4,,,sum
zaitaku_ninzu,在宅登録人数,zaitaku,zaitaku_reg,在宅登録,input,,int,人,2100,1,0,500,z1,在宅①!C,,last
zaitaku_shinki,"在宅登録 新規人数",zaitaku,zaitaku_reg,在宅登録,input,,int,人,2110,0,0,100,z2,在宅①!D,,sum
zaitaku_masshou,"在宅登録 抹消人数",zaitaku,zaitaku_reg,在宅登録,input,,int,人,2120,0,0,100,,在宅①!E,,sum
reg_houkan_kaigo,"訪問看護（介護） 登録数",zaitaku,zaitaku_svc,在宅サービス登録件数,input,,int,件,2130,0,0,300,,在宅①!F,,last
reg_houkan_kaigo_new,"訪問看護（介護） 新規",zaitaku,zaitaku_svc,在宅サービス登録件数,input,,int,件,2140,0,0,100,,在宅①!G,,sum
reg_houkan_kaigo_del,"訪問看護（介護） 抹消",zaitaku,zaitaku_svc,在宅サービス登録件数,input,,int,件,2150,0,0,100,,在宅①!H,,sum
reg_houkan_iryou,"訪問看護（医療） 登録数",zaitaku,zaitaku_svc,在宅サービス登録件数,input,,int,件,2160,0,0,300,,在宅①!I,,last
reg_houkan_iryou_new,"訪問看護（医療） 新規",zaitaku,zaitaku_svc,在宅サービス登録件数,input,,int,件,2170,0,0,100,,在宅①!J,,sum
reg_houkan_iryou_del,"訪問看護（医療） 抹消",zaitaku,zaitaku_svc,在宅サービス登録件数,input,,int,件,2180,0,0,100,,在宅①!K,,sum
reg_houshin_kaigo,"訪問診療（介護） 登録数",zaitaku,zaitaku_svc,在宅サービス登録件数,input,,int,件,2190,0,0,300,,在宅①!L,,last
reg_houshin_kaigo_new,"訪問診療（介護） 新規",zaitaku,zaitaku_svc,在宅サービス登録件数,input,,int,件,2200,0,0,100,,在宅①!M,,sum
reg_houshin_kaigo_del,"訪問診療（介護） 抹消",zaitaku,zaitaku_svc,在宅サービス登録件数,input,,int,件,2210,0,0,100,,在宅①!N,,sum
reg_houshin_iryou,"訪問診療（医療） 登録数",zaitaku,zaitaku_svc,在宅サービス登録件数,input,,int,件,2220,0,0,300,,在宅①!O,,last
reg_houshin_iryou_new,"訪問診療（医療） 新規",zaitaku,zaitaku_svc,在宅サービス登録件数,input,,int,件,2230,0,0,100,,在宅①!P,,sum
reg_houshin_iryou_del,"訪問診療（医療） 抹消",zaitaku,zaitaku_svc,在宅サービス登録件数,input,,int,件,2240,0,0,100,,在宅①!Q,,sum
reg_houkai,"訪問介護 登録数",zaitaku,zaitaku_svc,在宅サービス登録件数,input,,int,件,2250,0,0,300,,在宅①!R,,last
reg_houkai_new,"訪問介護 新規",zaitaku,zaitaku_svc,在宅サービス登録件数,input,,int,件,2260,0,0,100,,在宅①!S,,sum
reg_houkai_del,"訪問介護 抹消",zaitaku,zaitaku_svc,在宅サービス登録件数,input,,int,件,2270,0,0,100,,在宅①!T,,sum
reg_hourehab_kaigo,"訪問リハ（介護） 登録数",zaitaku,zaitaku_svc,在宅サービス登録件数,input,,int,件,2280,0,0,300,,在宅①!U,,last
reg_hourehab_kaigo_new,"訪問リハ（介護） 新規",zaitaku,zaitaku_svc,在宅サービス登録件数,input,,int,件,2290,0,0,100,,在宅①!V,,sum
reg_hourehab_kaigo_del,"訪問リハ（介護） 抹消",zaitaku,zaitaku_svc,在宅サービス登録件数,input,,int,件,2300,0,0,100,,在宅①!W,,sum
reg_hourehab_iryou,"訪問リハ（医療） 登録数",zaitaku,zaitaku_svc,在宅サービス登録件数,input,,int,件,2310,0,0,300,,在宅①!X,,last
reg_hourehab_iryou_new,"訪問リハ（医療） 新規",zaitaku,zaitaku_svc,在宅サービス登録件数,input,,int,件,2320,0,0,100,,在宅①!Y,,sum
reg_hourehab_iryou_del,"訪問リハ（医療） 抹消",zaitaku,zaitaku_svc,在宅サービス登録件数,input,,int,件,2330,0,0,100,,在宅①!Z,,sum
reg_houyaku,"訪問薬剤 登録数",zaitaku,zaitaku_svc,在宅サービス登録件数,input,,int,件,2340,0,0,300,,在宅①!AA,,last
reg_houyaku_new,"訪問薬剤 新規",zaitaku,zaitaku_svc,在宅サービス登録件数,input,,int,件,2350,0,0,100,,在宅①!AB,,sum
reg_houyaku_del,"訪問薬剤 抹消",zaitaku,zaitaku_svc,在宅サービス登録件数,input,,int,件,2360,0,0,100,,在宅①!AC,,sum
reg_total,"在宅サービス登録 合計",zaitaku,zaitaku_svc,在宅サービス登録件数,sum,"reg_houkan_kaigo,reg_houkan_iryou,reg_houshin_kaigo,reg_houshin_iryou,reg_houkai,reg_hourehab_kaigo,reg_hourehab_iryou,reg_houyaku",int,件,2370,0,,,z3,在宅①!AD,病院日誌の登録件数はこの合計,last
tsusho,通所リハ,toutyoku,kaigo,介護保険,input,,int,名,2400,1,0,100,s2,在宅②!C,Excel①の通所リハビリ列は同じ値の転記,sum
kaigo_houkan_over30,"訪問看護（介護） 30分以上",toutyoku,kaigo,介護保険,input,,int,件,2410,0,0,100,,在宅②!E,,sum
kaigo_houkan_under30,"訪問看護（介護） 30分以内",toutyoku,kaigo,介護保険,input,,int,件,2420,0,0,100,,在宅②!F,,sum
kaigo_houkai_over30,"訪問介護 30分以上",toutyoku,kaigo,介護保険,input,,int,件,2430,0,0,100,,在宅②!G,,sum
kaigo_houkai_under30,"訪問介護 30分以内",toutyoku,kaigo,介護保険,input,,int,件,2440,0,0,100,,在宅②!H,,sum
kaigo_kyotaku,居宅指導,toutyoku,kaigo,介護保険,input,,int,件,2450,0,0,100,s5,在宅②!I,,sum
kaigo_houeiyou,訪問栄養（介護）,toutyoku,kaigo,介護保険,input,,int,件,2460,0,0,100,,在宅②!J,,sum
kaigo_hourehab,訪問リハ（介護）,toutyoku,kaigo,介護保険,input,,int,件,2470,0,0,100,,在宅②!K,,sum
kaigo_houyaku,訪問薬剤（介護）,toutyoku,kaigo,介護保険,input,,int,件,2480,0,0,100,,在宅②!L,,sum
kaigo_shoukei,"介護保険 小計",toutyoku,kaigo,介護保険,sum,"kaigo_houkan_over30,kaigo_houkan_under30,kaigo_houkai_over30,kaigo_houkai_under30,kaigo_kyotaku,kaigo_houeiyou,kaigo_hourehab,kaigo_houyaku",int,件,2490,0,,,,在宅②!M,,sum
iryou_houkan,訪問看護（医療）,toutyoku,iryou,医療保険,input,,int,件,2500,0,0,100,,在宅②!O,,sum
iryou_houshin,訪問診療,toutyoku,iryou,医療保険,input,,int,件,2510,0,0,100,s3,在宅②!P,,sum
